location ,sqft_area,price,bathrooms,rooms
"Railway Station Rd near Classic hotel,bazaria ,ghaziabad ",900,70,3 Baths,2 BHK
Vasundhara sector 13,850,47,2 Baths,2 BHK
Sahibabad,650,49,2 Baths,2 BHK
Ghukna,600,15,2 Baths,2 BHK
Nehru Nagar,3000,170,4 Baths,4 BHK
Shakti khand 4,1200,57,2 Baths,3 BHK
"tgri road, near Tigri Road Dali Ki Kothi, Christian Nagar,ghaziabad ",900,50,3 Baths,3 BHK
Mohan Nagar,1075,52,2 Baths,3 BHK
Sahibabad,1640,125,4 Baths,4 BHK
Lal kuan,369,14,1 Bath,1 BHK
Lal kuan,315,12.5,1 Bath,1 BHK
Lal kuan,405,25,1 Bath,2 BHK
Lal kuan,645,25.5,2 Baths,3 BHK
vaishali sector 5,360,24,1 Bath,1 BHK
Pratap Vihar,409,12,1 Bath,1 BHK
"Reliance petrol pump,Lal Kuan,ghaziabad",650,17,2 Baths,1 BHK
Shastri Nagar,1300,69,2 Baths,3 BHK
Kavi Nagar,1500,75,2 Baths,2 BHK
Shakti khand 3,2600,107,3 Baths,4 BHK
"Null,Lal kuan Ghaziabad,Mansrowar Park,ghaziabad",432,17,2 Baths,2 BHK
"Nr. Allahabad Bank,Sector-1,ghaziabad",1100,53,2 Baths,2 BHK
 Vijay Nagar ,750,28,2 Baths,2 BHK
Vasundhara sector 13,2430,115,5 Baths,4 BHK
Shalimar garden,1000,38,2 Baths,2 BHK
Turab Nagar,2500,75,5 Baths,4 BHK
Raj Nagar extension,1790,125,3 Baths,4 BHK
Indirapuram,850,46,3 Baths,2 BHK
Ahinsa khand,1498,210,3 Baths,3 BHK
" Antriksh Greens, Indirapuram",2130,95,3 Baths,5 BHK
" ATS Advantage, Indirapuram",5400,560,3 Baths,5 BHK
NH 24,527,45,3 Baths,2 BHK
 Ahinsa Khand-2,956,64.7,3 Baths,3 BHK
Shalimar garden,1100,52.2,3 Baths,3 BHK
Indirapuram,1485,120,3 Baths,3 BHK
Crossing Republik,1120,45.5,3 Baths,2 BHK
Raj Nagar extension,637,19.2,3 Baths,1 BHK
 Siddhartha Vihar,2295,137,3 Baths,3 BHK
" Trine Towers, Indirapuram",1645,95.4,3 Baths,4 BHK
 Gyan Khand,900,70,3 Baths,2 BHK
Vasundhara,1600,131,3 Baths,4 BHK
Gyan Khand,1276,74.9,3 Baths,3 BHK
Shakti khand ,1200,55,3 Baths,3 BHK
NH 24,890,49.2,3 Baths,2 BHK
Raj Nagar extension,698,29.5,3 Baths,2 BHK
" Orange County, Orange County, Indirapuram",1224,78,3 Baths,2 BHK
 Wave City ,2151,110,3 Baths,4 BHK
Indirapuram,850,40,3 Baths,2 BHK
  Mahagunpuram,760,26,3 Baths,2 BHK
 Siddhartha Vihar,1110,104,3 Baths,3 BHK
 Siddhartha Vihar,636,53.3,3 Baths,2 BHK
Shakti khand 4,900,49,3 Baths,3 BHK
 Siddhartha Vihar,644,57.5,3 Baths,2 BHK
Raj Nagar extension,1200,62,3 Baths,3 BHK
Indirapuram,1725,112,3 Baths,4 BHK
Indirapuram,1045,51.5,3 Baths,2 BHK
Indirapuram,500,23,1 bath,1 BHK
Raj Nagar extension,637,19.2,1 bath,1 BHK
Raj Nagar extension,478,20.5,1 bath,1 BHK
 Ahinsa Khand-2,600,33.5,1 bath,1 BHK
 Vaishali Sector 2 ,600,26,1 bath,1 BHK
Indirapuram,500,24,1 bath,1 BHK
Indirapuram,600,30,1 bath,1 BHK
 Vasundhara ,550,22,1 bath,1 BHK
Ahinsa khand,550,30,1 bath,1 BHK
 Vaishali ,745,27,1 bath,1 BHK
NH 24,340,18.5,1 bath,1 BHK
Indirapuram,650,23.5,1 bath,1 BHK
 Dlf Dilshad Extension ,590,16.9,1 bath,1 BHK
Vaishali Sector 3  ,300,12.5,1 bath,1 BHK
 Vaishali Sector 2A ,625,26.8,1 bath,1 BHK
Shalimar garden,560,18.2,1 bath,1 BHK
Raj Nagar extension,410,28.5,1 bath,1 BHK
"Krishna Garden, in Duhai ",600,13,1 bath,1 BHK
NH 24,418,20,1 bath,1 BHK
Shakti Khand 3,377,20,1 bath,1 BHK
NH 24,585,18,1 bath,1 BHK
Gyan Khand 4 ,427,21,1 bath,1 BHK
Nyay khand,277,13.5,1 bath,1 BHK
 Vasundhara Sector 1 ,400,14,1 bath,1 BHK
" ATS Advantage, Indirapuram",550,22,1 bath,1 BHK
 Siddhartha Vihar,450,18,1 bath,1 BHK
" ATS Advantage, Indirapuram",230,10.8,1 bath,1 BHK
Govindpuram,645,25,1 bath,1 BHK
NH 24,580,17.5,1 bath,1 BHK
 Pilkhuwa ,445,10.5,1 bath,1 BHK
Raj Nagar extension,890,33,2 bath,2 BHK
Indirapuram,850,46,2 bath,2 BHK
Ahinsa khand,990,113,2 bath,2 BHK
Indirapuram,990,44.5,2 bath,2 BHK
NH 24,527,45,2 bath,2 BHK
" ATS Advantage, Indirapuram",1365,120,2 bath,2 BHK
 Ahinsa Khand-2,860,58.1,2 bath,2 BHK
Crossing Republik,1120,45.5,2 bath,2 BHK
Raj Nagar extension,808,25.2,2 bath,2 BHK
" Trine Towers, Indirapuram",965,56,2 bath,2 BHK
Indirapuram,960,53.6,2 bath,2 BHK
Shakti Khand 2,1050,38,2 bath,2 BHK
NH 24,890,42.9,2 bath,2 BHK
Raj Nagar extension,698,29.5,2 bath,2 BHK
Indirapuram,1224,78,2 bath,2 BHK
 Vaishali ,950,38.9,2 bath,2 BHK
Indirapuram,850,40,2 bath,2 BHK
 Mahagunpuram,760,26,2 bath,2 BHK
 Siddhartha Vihar,636,53.8,2 bath,2 BHK
 Siddhartha Vihar,532,43,2 bath,2 BHK
 Siddhartha Vihar,644,57.5,2 bath,2 BHK
NH 24,450,23,2 bath,2 BHK
Indirapuram,1045,51.5,2 bath,2 BHK
Raj Nagar extension,750,34.5,2 bath,2 BHK
Indirapuram,1100,55,2 bath,2 BHK
 Siddhartha Vihar,1175,62.6,2 bath,2 BHK
Crossing Republik,1070,40,2 bath,2 BHK
Indirapuram,950,51,2 bath,2 BHK
Indirapuram,850,53,2 bath,2 BHK
 Vasundhara ,960,41,2 bath,2 BHK
" Antriksh Greens, Indirapuram",2130,95,4 bath,5 BHK
Indirapuram,3100,285,4 bath,5 BHK
" ATS Advantage, Indirapuram",5400,560,4 bath,5 BHK
Ahinsa khand,4500,500,4 bath,5 BHK
Indirapuram,3735,300,4 bath,5 BHK
Niti khand,3201,253,4 bath,5 BHK
Niti khand 2,3713,325,4 bath,5 BHK
 Rajendra Nagar ,4000,250,4 bath,5 BHK
Niti khand 2,2987,224,4 bath,5 BHK
 Vasundhara Sector 12 ,3655,229,4 bath,5 BHK
Indirapuram,7550,395,4 bath,5 BHK
Indirapuram,2852,190,4 bath,5 BHK
NH 24,3400,221,4 bath,5 BHK
Indirapuram,3965,250,4 bath,5 BHK
Indirapuram,4000,160,4 bath,5 BHK
Indirapuram,3700,270,4 bath,5 BHK
Niti khand 2,3100,275,4 bath,5 BHK
Ahinsa khand,3050,348,4 bath,5 BHK
Indirapuram,4000,325,4 bath,5 BHK
 Ahinsa Khand-2,2535,185,4 bath,5 BHK
 Rajendra Nagar Sector 2 ,2790,149,4 bath,5 BHK
 Rajendra Nagar ,4500,280,4 bath,5 BHK
 Rajendra Nagar Sector 2 ,4600,270,4 bath,5 BHK
 Vasundhara Sector 12 ,3200,230,4 bath,5 BHK
Niti khand,2593,240,4 bath,5 BHK
 Wave City ,3526,225,4 bath,5 BHK
 Ahinsa Khand-2,2100,110,4 bath,5 BHK
